Sentence|True intent|Pred intent|True slots|Pred slots
tăng cho tôi bóng thờ 1 lên 3 phần trăm|smart.home.increase.percentage|smart.home.increase.percentage|O O O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage|B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
bạn tăng cho mình bóng ngủ với ạ|smart.home.increase.percentage|smart.home.increase.level|O O O O B-devicedevice I-devicedevice O O|O O O O B-devicedevice I-devicedevice O O
device bóng để bàn|smart.home.increase.percentage|greeting|O B-devicedevice I-devicedevice I-devicedevice|O B-devicedevice I-devicedevice I-devicedevice
device đèn lồng 1|smart.home.increase.percentage|smart.home.set.percentage|O B-devicedevice I-devicedevice I-devicedevice|O B-devicedevice I-devicedevice I-devicedevice
device đèn rủ 1|smart.home.increase.percentage|smart.home.set.percentage|O B-devicedevice I-devicedevice I-devicedevice|O B-devicedevice I-devicedevice I-devicedevice
tiếp tục hạ thấp bóng ngủ thứ 2 thêm 1 mức nữa|smart.home.decrease.level|smart.home.increase.level|O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesysnumber O O|B-commandcommand I-commandcommand B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesysnumber O O
tiếp tục giảm đi đèn sân thêm 2 mức nữa|smart.home.decrease.level|smart.home.increase.level|O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice O B-change-valuesysnumber O O|B-commandcommand I-commandcommand B-commandcommand I-commandcommand B-devicedevice I-devicedevice O B-change-valuesysnumber O O
giảm cửa cuốn 2 về mức 3 giúp tôi với|smart.home.decrease.level|smart.home.decrease.level|O B-devicedevice I-devicedevice I-devicedevice O O B-sysnumbersysnumber O O O|O B-devicedevice I-devicedevice I-devicedevice O O O O O O
giảm rèm đơn 2 về mức 1 giúp tôi với|smart.home.decrease.level|smart.home.decrease.level|O B-devicedevice I-devicedevice I-devicedevice O O B-sysnumbersysnumber O O O|O B-devicedevice I-devicedevice I-devicedevice O O O O O O
tiếp tục giảm đi đèn trần thêm 1 mức nữa|smart.home.decrease.level|smart.home.increase.level|O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice O B-change-valuesysnumber O O|B-commandcommand I-commandcommand B-commandcommand I-commandcommand B-devicedevice I-devicedevice O B-change-valuesysnumber O O
giảm đèn đứng 4 về mức 3 giúp tôi với|smart.home.decrease.level|smart.home.decrease.level|O B-devicedevice I-devicedevice I-devicedevice O O B-sysnumbersysnumber O O O|O B-devicedevice I-devicedevice I-devicedevice O O O O O O
giảm đèn cây thứ 1 về mức 5 giúp tôi với|smart.home.decrease.level|smart.home.decrease.level|O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-sysnumbersysnumber O O O|O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O O O O O
tiếp tục hạ thấp bóng 1 thêm 3 mức nữa|smart.home.decrease.level|smart.home.increase.level|O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice O B-change-valuesysnumber O O|B-commandcommand I-commandcommand B-commandcommand I-commandcommand B-devicedevice I-devicedevice O B-change-valuesysnumber O O
tiếp tục giảm bóng sợi đốt thêm 3 mức nữa|smart.home.decrease.level|smart.home.increase.level|O O B-commandcommand B-devicedevice I-devicedevice I-devicedevice O B-change-valuesysnumber O O|B-commandcommand I-commandcommand B-commandcommand B-devicedevice I-devicedevice I-devicedevice O B-change-valuesysnumber O O
em ơi thay đổi đèn hắt thành màu xanh nhé|smart.home.set.color|smart.home.set.color|O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice O B-colorcolor I-colorcolor O|O O O O B-devicedevice I-devicedevice O B-colorcolor I-colorcolor O
bạn có thể giúp mình chế độ màu của đèn để bàn thứ 1 trong tiền sảnh được không|smart.home.set.color|smart.home.device.onoff|O O O O O B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O O|O O O O O B-commandcommand I-commandcommand I-commandcommand O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O O
command đen của đèn vườn 2 phòng xông hơi floornumber giúp mình với|smart.home.set.color|smart.home.set.color|B-commandcommand B-colorcolor O B-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom B-floornumberfloornumber O O O|O O O B-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom B-floornumberfloornumber O O O
em có biết kích hoạt màu sắc của màn cửa không|smart.home.set.color|smart.home.device.onoff|O O O B-commandcommand I-commandcommand O O O B-devicedevice I-devicedevice O|O O O B-commandcommand I-commandcommand I-commandcommand I-commandcommand O B-devicedevice I-devicedevice O
em có biết chạy màu sắc của bóng tuýp không|smart.home.set.color|smart.home.device.onoff|O O O B-commandcommand O O O B-devicedevice I-devicedevice O|O O O B-commandcommand I-commandcommand I-commandcommand O B-devicedevice I-devicedevice O
bạn chuyển cái đèn treo tường sang tía cho mình|smart.home.set.color|smart.home.set.color|O O O B-devicedevice I-devicedevice I-devicedevice O B-colorcolor O O|O B-commandcommand O B-devicedevice I-devicedevice I-devicedevice O B-colorcolor O O
bạn chuyển cái đèn trang trí 2 sang xám cho mình|smart.home.set.color|smart.home.set.color|O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-colorcolor O O|O B-commandcommand O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-colorcolor O O
em có biết thay đổi màu sắc màu sắc của bóng âm trần thứ 2 không|smart.home.set.color|smart.home.device.onoff|O O O B-commandcommand I-commandcommand I-commandcommand I-commandcommand O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O|O O O B-commandcommand I-commandcommand I-commandcommand I-commandcommand I-commandcommand I-commandcommand O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O
để tvs thứ 4 màu trắng|smart.home.set.color|smart.home.set.color|O B-devicedevice I-devicedevice I-devicedevice O B-colorcolor|O B-devicedevice I-devicedevice I-devicedevice B-colorcolor I-colorcolor
chỉnh bóng sợi đốt floornumber sáng màu trắng|smart.home.set.color|smart.home.set.color|B-commandcommand B-devicedevice I-devicedevice I-devicedevice B-floornumberfloornumber O B-colorcolor I-colorcolor|B-commandcommand B-devicedevice I-devicedevice I-devicedevice B-roomroom O B-colorcolor I-colorcolor
để điện thứ 2 màu hồng|smart.home.set.color|smart.home.set.color|O B-devicedevice I-devicedevice I-devicedevice O B-colorcolor|B-commandcommand B-devicedevice I-devicedevice I-devicedevice B-colorcolor I-colorcolor
bạn có thể giúp mình đặt màu của công tắc trong phòng đọc sách được không|smart.home.set.color|smart.home.set.level|O O O O O B-commandcommand O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O|O O O O O B-commandcommand O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O
bạn có thể giúp mình chuyển màu của đèn hắt tường 2 trong lễ tân được không|smart.home.set.color|smart.home.device.onoff|O O O O O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O O|O O O O O B-commandcommand I-commandcommand O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O O
khởi chạy tất cả ti vi thứ 1 màu nâu|smart.home.set.color|smart.home.set.color|B-commandcommand I-commandcommand B-allall I-allall B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-colorcolor I-colorcolor|B-commandcommand I-commandcommand B-allall B-allall B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-colorcolor I-colorcolor
em có biết chế độ màu sắc của bóng ốp tường 4 không|smart.home.set.color|smart.home.device.onoff|O O O B-commandcommand I-commandcommand O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O|O O O B-commandcommand I-commandcommand I-commandcommand I-commandcommand O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O
em ơi command bóng hắt thành màu xanh nước biển nhé|smart.home.set.color|smart.home.set.color|O O B-commandcommand B-devicedevice I-devicedevice O B-colorcolor I-colorcolor I-colorcolor I-colorcolor O|O O O B-devicedevice I-devicedevice O B-colorcolor I-colorcolor I-colorcolor I-colorcolor O
bạn chuyển cái đèn flash thứ 1 sang màu xanh lá cho mình|smart.home.set.color|smart.home.set.color|O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-colorcolor I-colorcolor I-colorcolor O O|O B-commandcommand O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-colorcolor I-colorcolor I-colorcolor O O
để đèn cổng thứ 1 màu màu cam|smart.home.set.color|smart.home.set.color|O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-colorcolor I-colorcolor|B-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-colorcolor B-colorcolor I-colorcolor
bạn có thể giúp mình điều chỉnh màu của hắt tường thứ 1 trong phòng ông chủ được không|smart.home.set.color|smart.home.device.onoff|O O O O O B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O|O O O O O B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O
để van nước thứ 4 màu màu xám|smart.home.set.color|smart.home.set.color|O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-colorcolor I-colorcolor|B-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-colorcolor I-colorcolor
đặt màu trắng của đèn âm trần đầu hè lầu trệt 2 giúp mình với|smart.home.set.color|smart.home.set.color|B-commandcommand B-colorcolor I-colorcolor O B-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber I-floornumberfloornumber O O O|B-commandcommand O B-colorcolor O B-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber I-floornumberfloornumber O O O
thay tất cả đèn thả 4 tím|smart.home.set.color|smart.home.set.color|B-commandcommand B-allall I-allall B-devicedevice I-devicedevice I-devicedevice B-colorcolor|B-commandcommand B-allall B-allall B-devicedevice I-devicedevice I-devicedevice B-colorcolor
bạn chuyển cái tivi 1 sang xanh lá cho mình|smart.home.set.color|smart.home.set.color|O O O B-devicedevice I-devicedevice O B-colorcolor I-colorcolor O O|O B-commandcommand O B-devicedevice I-devicedevice O B-colorcolor I-colorcolor O O
thay đổi màu sắc màu xanh nước biển của mành cuốn 4 phòng ông bà 3 floornumber giúp mình với|smart.home.set.color|smart.home.set.color|B-commandcommand I-commandcommand I-commandcommand I-commandcommand B-colorcolor I-colorcolor I-colorcolor I-colorcolor O B-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber O O O|B-commandcommand I-commandcommand I-commandcommand I-commandcommand O B-colorcolor I-colorcolor I-colorcolor O B-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber O O O
command cam của rèm đôi phòng nghiên cứu floornumber giúp mình với|smart.home.set.color|smart.home.set.color|B-commandcommand B-colorcolor O B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom B-floornumberfloornumber O O O|O B-colorcolor O B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom B-floornumberfloornumber O O O
em có biết kích hoạt màu sắc của quạt trần không|smart.home.set.color|smart.home.device.onoff|O O O B-commandcommand I-commandcommand O O O B-devicedevice I-devicedevice O|O O O B-commandcommand I-commandcommand I-commandcommand I-commandcommand O B-devicedevice I-devicedevice O
để rèm cửa 2 màu màu cam|smart.home.set.color|smart.home.set.color|O B-devicedevice I-devicedevice I-devicedevice O B-colorcolor I-colorcolor|B-commandcommand B-devicedevice I-devicedevice I-devicedevice O B-colorcolor I-colorcolor
bật giúp mình đèn âm trần thứ 3 với|smart.home.set.level|smart.home.device.onoff|O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O|B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O
điều chỉnh giúp tôi bóng làm việc thứ 4 ở mặt tiền 3 lên mức 5|smart.home.set.level|smart.home.increase.level|B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O B-sysnumbersysnumber|B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O B-sysnumbersysnumber
bạn chuyển hộ mình đèn tiết kiệm điện thứ 3 lên với|smart.home.set.level|smart.home.device.onoff|O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O O|O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O O
bạn đặt hộ mình đèn cổng lên với|smart.home.set.level|smart.home.device.onoff|O B-commandcommand O O B-devicedevice I-devicedevice O O|O B-commandcommand O O B-devicedevice I-devicedevice O O
đèn tranh trong nhà xe 4 chuyển số 4|smart.home.set.level|smart.home.set.level|B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom B-commandcommand O B-final-valuesysnumber|B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom B-commandcommand O B-sysnumbersysnumber
đèn compact thứ 4 trong phòng gia đình 1 cài đặt số 1|smart.home.set.level|smart.home.set.level|B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom B-commandcommand I-commandcommand O B-final-valuesysnumber|B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom B-commandcommand I-commandcommand O B-sysnumbersysnumber
bật giúp mình bóng đứng thứ 2 với|smart.home.set.level|smart.home.device.onoff|O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O|B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O
bật giúp mình bóng led 3 với|smart.home.set.level|smart.home.set.percentage|O O O B-devicedevice I-devicedevice I-devicedevice O|B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O
bạn cài đặt hộ mình đèn ốp tường lên với|smart.home.set.level|smart.home.device.onoff|O B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O O|O B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O O
bật giúp mình mành thứ 3 với|smart.home.set.level|smart.home.device.onoff|O O O B-devicedevice I-devicedevice I-devicedevice O|B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O
quạt treo tường 3 trong ga ra 3 đổi số 1|smart.home.set.level|smart.home.decrease.level|B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom B-commandcommand O B-final-valuesysnumber|B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom B-commandcommand O B-final-valuesysnumber
bật giúp mình đèn với|smart.home.set.level|smart.home.device.onoff|O O O B-devicedevice O|B-commandcommand O O B-devicedevice O
chào bạn bạn bật giúp mình loa còi ở nhà bếp được không ạ|smart.home.set.level|smart.home.device.onoff|O O O B-commandcommand O O B-devicedevice I-devicedevice O B-roomroom I-roomroom O O O|O O O B-commandcommand O O B-devicedevice I-devicedevice O B-roomroom I-roomroom O O O
bạn đặt hộ mình nút ấn 2 lên với|smart.home.set.level|smart.home.set.percentage|O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O O|O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O O
bạn đổi hộ mình rèm cửa lên với|smart.home.set.level|smart.home.device.onoff|O B-commandcommand O O B-devicedevice I-devicedevice O O|O B-commandcommand O O B-devicedevice I-devicedevice O O
điều chỉnh giúp tôi tvs thứ 4 ở tiền sảnh 2 lên mức 5|smart.home.set.level|smart.home.increase.level|B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O B-sysnumbersysnumber|B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O B-sysnumbersysnumber
đèn led 4 trong sân điều chỉnh số 4|smart.home.set.level|smart.home.set.level|B-devicedevice I-devicedevice I-devicedevice O B-roomroom B-commandcommand I-commandcommand O B-final-valuesysnumber|B-devicedevice I-devicedevice I-devicedevice O B-roomroom B-commandcommand I-commandcommand O B-sysnumbersysnumber
giúp mình bật thiết bị máy lạnh thứ 3 ở sân tiện quá thể|smart.home.device.onoff|smart.home.device.onoff|O O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom O O O|O O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O O
tôi muốn tắt màn cửa đơn 2|smart.home.device.onoff|smart.home.set.percentage|O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice|O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice
tôi muốn tắt loa|smart.home.device.onoff|smart.home.set.percentage|O O O B-devicedevice|O O O B-devicedevice
em giúp anh bật đèn quảng cáo thứ 1 nha em|smart.home.device.onoff|smart.home.set.percentage|O O O B-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O O|O O O B-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O O
giúp mình bật thiết bị rèm cửa thứ 3 ở sảnh tiện quá thể|smart.home.device.onoff|smart.home.device.onoff|O O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom O O O|O O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O O
tôi muốn tắt đèn cây|smart.home.device.onoff|smart.home.set.percentage|O O O B-devicedevice I-devicedevice|O O O B-devicedevice I-devicedevice
em giúp anh bật đèn sắc màu nha em|smart.home.device.onoff|smart.home.set.percentage|O O O B-commandcommand B-devicedevice I-devicedevice I-devicedevice O O|O O O B-commandcommand B-devicedevice I-devicedevice I-devicedevice O O
tôi muốn tắt công tắc|smart.home.device.onoff|smart.home.set.percentage|O O O B-devicedevice I-devicedevice|O O O B-devicedevice I-devicedevice
xin chào hãy thông minh cùng mình nhá|greeting|smart.home.set.color|O O O O O O O O|O O O O O O O O
hi trợ lí ảo ơi tôi cần trợ giúp|greeting|smart.home.check.status|O O O O O O O O O|O O O O O O O O O
xin chào bạn cảm ơn bạn rất nhiều|greeting|smart.home.decrease.level|O O O O O O O O|O O O O O O O O
hello em trai|greeting|smart.home.check.status|O O O|O O O
